EXT_ID,X,Y
OS039,224291,504895
OS016,239310,510860
OS009,257150,524150
OS156,251493,538739
1338_NSG,210603,441421
1337_NSG,221540,465450
1339_NSG,241846,436961
205S310,229125,498025
072S310,235970,473880
223S310,254415,472750
218S310,245840,466200
232S310,266040,476020
215S310,249560,477520
401,262244,576394
501,260237,559439
566,266522,537146
611,269924,554511
640,260114,548956
4612,256070,572958
6060,271570,575401
6354,271814,582419
725,242000,568500
2016,249339,574495
2022,237818,579261
2048,240214,556420
2055,249619,548434
4360,270208,544892
6234,242675,584028
6370,260601,587199
6487,269611,562881
1.P.1,200225,355290
3.P.29,193962,345513
6.P.21,188947,337109
6.P.40,186546,326311
8.P.18,180697,331691
10.P.30,191246,318627
10.P.36,177314,320266
12.P.25,198505,308661
15.P.41,185950,308371
18.P.37,201510,321755
X17,220000,610000
X18,230000,620000
X19,240000,630000
L0006,171980,559690
L0050,203667,582248
L0051,200450,557520
L0052,159619,576229
L0053,223533,554903
L0054,192867,545198
6210,88604,466467
6229,112197,557072
6235,114358,547781
6240,112648,479183
6249,127642,518017
6257,101523,501543
6260,141003,456772
6265,147859,460466
6267,154710,543902
6269,164903,495700
6270,180316,581059
6273,188503,523619
6275,188985,453160
6278,214772,494198
6279,231249,527808
6280,235014,572383
6283,241546,453797
6286,272749,580578
6290,258220,476370
6310,30760,385969
6315,58557,385363
6319,46461,361499
6323,51797,394769
6330,66557,444557
6340,81723,384975
6343,81274,433192
6344,90548,440481
6348,123783,442017
6350,123505,397521
6356,138634,430822
0637X,157018,384446
6375,176615,406739
6377,181488,356705
6380,182824,325194
6391,211400,390321
10,172000,605000
11,144000,598000
12,208000,610000
15,133000,590000
16,106000,531000
17,116000,563000
18,180000,607000
19,121000,575000
21,109000,539000
22,114000,568000
24,125000,585000
25,115000,548000
26,149000,601000
61,173000,571000
64,172000,561000
65,156000,564000
66,158000,577000
67,195000,594000
68,174000,588000
69,220000,553000
70,163000,541000
73,203000,570000
75,200000,546000
76,152000,565000
77,205000,588000
78,163000,577000
79,169000,553000
80,153000,544000
81,184000,555000
82,200000,557000
84,206000,597000
85,178000,581000
86,196000,564000
87,197000,577000
89,184000,563000
90,192000,572000
91,194000,599000
134,237000,594000
135,244000,588000
136,226000,590000
139,235000,578000
140,236000,558000
141,258000,594000
142,233000,602000
143,270000,581000
144,269000,544000
145,215000,595000
147,251000,569000
148,245000,575000
150,241000,603000
151,248000,606000
152,252000,561000
153,266000,573000
154,227000,598000
155,246000,558000
156,271000,562000
158,241000,575000
159,260000,554000
160,222000,563000
161,235000,571000
162,219000,582000
163,225000,574000
164,246000,596000
166,215000,574000
171,205000,600000
172,262000,586000
210,106000,499000
217,112000,512000
221,148000,525000
222,132000,518000
223,126000,489000
224,132000,502000
225,101000,490000
226,101000,499000
227,118000,542000
228,116000,532000
229,95000,484000
230,116000,499000
233,117000,493000
234,107000,522000
235,105000,507000
236,136000,530000
238,125000,544000
239,131000,549000
240,135000,542000
242,125000,503000
249,140000,522000
251,122000,511000
252,122000,534000
255,121000,521000
256,137000,497000
257,126000,527000
298,242000,520000
317,189000,524000
323,232000,549000
326,209000,540000
327,224000,538000
328,199000,488000
329,202000,494000
330,206000,505000
331,267000,489000
332,228000,526000
333,256000,534000
335,193000,508000
336,191000,489000
337,244000,547000
338,201000,526000
339,235000,509000
340,215000,495000
341,246000,535000
342,221000,505000
343,257000,523000
344,171000,520000
345,236000,498000
348,181000,525000
349,264000,529000
350,185000,495000
352,178000,515000
353,193000,527000
354,227000,512000
356,186000,533000
358,209000,514000
359,177000,539000
361,250000,491000
362,213000,526000
364,187000,506000
365,171000,508000
366,174000,501000
367,144000,492000
369,165000,496000
371,154000,489000
372,157000,479000
426,96000,454000
434,117000,438000
435,104000,484000
437,112000,485000
438,108000,481000
439,103000,470000
440,81000,459000
441,123000,487000
442,107000,455000
443,109000,447000
444,88000,467000
446,57000,428000
447,79000,415000
449,85000,447000
450,88000,417000
451,97000,434000
453,93000,445000
454,98000,475000
455,100000,420000
456,66000,436000
458,113000,475000
459,106000,425000
461,97000,430000
462,65000,419000
463,68000,428000
464,70000,435000
465,107000,430000
466,87000,463000
467,86000,430000
469,94000,465000
470,117000,461000
471,51000,427000
473,89000,434000
474,90000,465000
477,70000,445000
479,77000,443000
480,77000,447000
509,151000,452000
510,195000,477000
514,197000,484000
516,167000,488000
523,151000,442000
539,190000,429000
541,192000,446000
542,170000,472000
543,195000,471000
546,160000,455000
547,161000,472000
548,131000,469000
549,144000,438000
550,141000,457000
557,202000,458000
558,170000,456000
559,129000,456000
560,160000,445000
561,124000,446000
562,159000,438000
563,131000,480000
564,177000,485000
565,170000,466000
567,184000,465000
569,186000,420000
570,182000,479000
571,179000,463000
572,127000,475000
573,193000,464000
576,155000,474000
578,186000,447000
579,170000,447000
580,167000,461000
582,157000,462000
583,175000,443000
584,147000,432000
588,199000,441000
589,177000,439000
591,190000,454000
593,142000,472000
595,151000,464000
596,147000,476000
645,218000,453000
663,224000,464000
664,242000,485000
665,259000,470000
666,245000,443000
667,218000,444000
668,253000,475000
669,232000,457000
670,259000,476000
672,227000,489000
673,221000,431000
674,247000,456000
675,256000,486000
677,208000,475000
678,218000,464000
679,204000,434000
680,236000,437000
681,216000,476000
682,231000,471000
683,236000,446000
684,241000,448000
686,248000,438000
687,228000,480000
688,241000,454000
705,27000,380000
733,32000,387000
735,55000,389000
736,51000,417000
737,49000,411000
738,37000,373000
740,23000,367000
741,62000,401000
742,49000,370000
743,57000,413000
744,68000,406000
746,20000,395000
747,66000,384000
749,52000,394000
750,71000,382000
751,30000,401000
752,40000,412000
754,46000,383000
755,47000,398000
756,30000,390000
757,74000,394000
758,41000,395000
760,43000,388000
761,41000,369000
762,27000,376000
763,17000,378000
764,60000,378000
767,62000,363000
770,49000,360000
827,137000,397000
828,95000,399000
829,106000,387000
830,139000,426000
831,138000,386000
832,76000,391000
833,117000,405000
834,119000,391000
835,132000,422000
836,127000,428000
837,82000,401000
838,112000,397000
839,80000,383000
840,123000,420000
841,96000,408000
843,123000,397000
844,127000,410000
883,199000,379000
892,139000,408000
896,171000,388000
897,211000,374000
899,175000,395000
901,157000,415000
902,161000,381000
903,167000,426000
904,177000,378000
905,189000,405000
906,151000,391000
907,151000,399000
908,182000,385000
909,183000,410000
910,143000,418000
911,162000,406000
912,165000,371000
913,190000,389000
914,166000,420000
915,146000,373000
917,147000,423000
918,169000,369000
919,153000,386000
920,177000,407000
921,197000,388000
922,204000,408000
923,210000,388000
950,178000,310000
961,196000,355000
962,192000,318000
963,187000,319000
964,177000,363000
965,200000,323000
966,189000,327000
967,190000,367000
968,198000,309000
969,181000,330000
970,178000,355000
971,185000,310000
973,185000,326000
974,185000,339000
977,203000,366000
979,192000,345000
980,192000,308000
981,178000,312000
982,197000,332000
E704,273986,480698
E008,242090,624404
E402,284793,553599
E207,277299,583986
10200,277346,601738
E212,291285,593331
E103,270070,614453
E601,257555,513375
E501,268975,529766
10309,261498,455931
H119,258227,432649
H411,276727,442956
H401,214660,389819
H203,203879,419400
H512,211778,368123
H522,228741,367259
H311,224839,412509
